Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Australia,AUS,"Population, total",SP.POP.TOTL,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23815995,24190907,24601860,24982688,25365745,25693267,25739256
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.47522794532757,0.624678435014185,2.00402174031569,2.0610451296841,1.55548958906995,1.38952731561803,1.74582000067359,1.43921665259925,1.56194049810399,1.68452310845434,1.53610551570388,1.52165367749095,1.28293313733698,0.178832417987611
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,..,..,..
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,706835658722.721,777802512986.28,900082101289.292,955528161353.22,1028728032989.7,1125573695720.27,1369868613394.82,1440558868614.77,1308400113510.57,1266616319836.39,1325914770574.33,1392852404069.98,1379109792024.02,1461068135989.44
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,34150,37340,42360,44050,46690,50380,60260,60490,54090,51480,53070,54910,53680,56760
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,683725655885.693,728320349184.367,764292228983.965,843143888058.951,833030558425.136,900719498733.333,944215204708.739,1079078992814.64,1116256457925.91,1158384166253.26,1214142653408.62,1270627091643.14,1341876157064.03,1423004088315.4
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,33030,34970,35970,38870,37810,40320,41530,45310,46140,47090,48600,50090,52230,55290
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,7.2,..,7.3,..,..,..,7.4,..,7.3,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,..
